question,a0,a1,a2,a3,index
A cuantas unidades equivale 10 decenas de millar,100000 Unidades,10000 Unidades,1000 Unidades,Ninguna,0
Aproxima el numero 58 a la decena,50,55,60,Ninguna,2
Escribe el numero ordinal trigesimo quinto en cifras,135,35,25,Ninguna,1
Que cantidad expresa el numero romano V,Uno,Diez,Cinco,Ninguna,2
Que numero resulta si divides 56 entre 7,9,7,8,Ninguna,2
Como escribirias en cifras seiscientos veinticinco mil doscientos dos,6025202,625202,60025202,Ninguna,1
Si en una carrera vas tres puestos por detras del vigesimo segundo ¿en que puesto vas?,Noveno,Decimotercero,Decimonoveno,Ninguna,2
Para calcular cuanto es un tercio de 3996 ¿que tienes que hacer?,Dividir Entre Tres,Restar Tres,Multiplicar Por Tres,Ninguna,0
Como se llama el poligono de siete lados,Heptagono,Heagono,Septagono,Ninguna,0
Cual es el nombre del triangulo que tiene dos lados iguales y uno desigual,Isosceles,Escaleno,Equilatero,Ninguna,0
Cual fue el primer pais en aprobar el sufragio femenino?,Nueva Zelanda,Mexico,Brasil,Ninguna,0
En que año llego el hombre a la Luna?,1959,1949,1969,1979,2
Cual era la ciudad hogar de Marco Polo?,Venecia,Suecia,Francia,Ninguna,0
En que año tuvo lugar el genocidio de Ruanda?,1990,1984,1980,1994,3
En que año se disolvio la Union Sovietica?,1990,1992,1991,1995,2
Que suceso marca el final de la Edad Antigua y el inicio de la Edad Media?,Caida Del Imperio Romano 472 Dc,Caida Del Imperio Romano 476 Dc,Caida Del Imperio Romano 470 Dc,Caida Del Imperio Romano 477 Dc,1
De que pais se independizo Eslovenia?,Yugoslavia,Venecia,Francia,Ninguna,0
Como se conocia la Primera Guerra Mundial antes de que estallara la segunda?,La Gran Batalla,Guerra Sin Fin,La Gran Guerra,La Gran Contienda,2
Cual es la narracion epica mas antigua de la historia?,Moises,Gilgamesh,Voltaire,Ninguna,1
Cual es la capital de Filipinas?,Manila,Zipila,Tizila,Yisila,0
Cual es el rio mas caudaloso del mundo?,Amazonas,Maracaibo,Nilo,Redson,0
Que pais esta entre Peru y Colombia?,Peru,Bolivia,Ecuador,Ninguna,2
En que pais se encuentra el rio Po?,Rumania,Grecia,Italia,Irlanda,2
Cual es la montaña mas alta de Europa?,Eldrus,Eltrus,Elgrus,Elbrus,3
A que pais pertenece la isla de Creta?,Italia,Grecia,Suecia,Ninguna,1
Donde se encuentra la Casa Rosada?,Argetina,Cordoba,Chaco,Buenos Aires,0
En que pais se encuentra el pico Aconcagua?,Argetina,Chile,Bolivia,Peru,0
Cual es el pais mas visitado del mundo?,Escocia,España,China,Francia,3
Por cuantos estados esta formado Estados Unidos?,49,50,48,51,1
Cual es el pais del mundo con mayor poblacion?,India,Rusia,China,Corea Del Sur,2
Cual es la lengua mas hablada del mundo?,Chino Mandarin,Ingles,Español,Aleman,0
En que paises se encuentra el Everest?,China Y Japon,Argentina Y Chile,Francia Y España,China Y Nepal,3
En que mes el Sol esta mas cerca de la Tierra?,Enero,Diciembre,Febrero,Noviembre,1
En que lado del cuerpo esta el higado?,Derecho,Izquierdo,Centro,Ninguna,0
Que numero viene despues del 14 en los decimales del Pi?,0,4,1,5,2
Cuantos elementos tiene la tabla periodica?,118,117,116,114,0
Que gas de la atmosfera nos protege de la radiacion ultravioleta?,Ozono,Monozono,Trizono,Ninguna,0
Cuales son las bases nitrogenadas del ADN?,Adenina,Adenina Timina Guanina Y Citosina,Guanina,Citosina,1
Cual es la velocidad de la luz?,400.000Km/S,200.000Km/S,600.000Km/S,300.000Km/S,3
De los cinco sentidos ¿cual es el que se desarrolla primero?,Olfato,Tacto,Piel,Ninguna,0
Que elemento esta presente en absolutamente todas las moleculas organicas?,Fosforo,Hidrogeno,Carbono,Ninguna,2
Como se llama el proceso celular en el que una celula se divide para dar lugar a dos celulas hijas iguales?,Mitosis,Citosis,Pitosis,Ninguna,0
Como se llaman las celulas con un nucleo diferenciado?,Monocariotas,Bicariotas,Cariotas,Eucariotas,3
Cual es el unico mes que puede tener menos de 4 fases lunares?,Enero,Marzo,Febrero,Diciembre,2
Cual es el elemento mas abundante de la Tierra?,Potasio,Magnesio,Hidrogeno,Selenio,2
Que es el cobalto,Vegetal,Mineral,Animal,Ninguna,1
en que parte se produce la insulina,Higado,Pulmones,Pancreas,Estomago,2
Que rama de la biologia estudia a los animales?,Zoologia,Fauna,Medicina,Ninguna,0
Cual es el animal mas rapido del mundo?,Condor,Leopardo,Guepardo,Leon,2
Como se llama el proceso por el cual las plantas obtienen su alimento,Biosintesis,Fotosintesis,Luminosintesis,Ninguna,1
Como se denomia a los animales que nacen de un huevo?,Hueviparos,Viviparos,Oviparos,Ninguna,2
Cual es la ave voladora mas grande del mundo?,Aguila Real,Condor Andino,Galcon,Ninguna,1
Cuantos corazones tienen los pulpos?,1,Ninguno,3,4,2
Cuantos huesos en total tiene el ser humano?,60,206,416,350,1
Cual es el simbolo del oro en la tabla periodica?,Or,Au,Ao,Aur,1
